Provinsi,Jumlah Kasus Penyakit - Angka Penemuan TBC,Jumlah Kasus Penyakit - Angka Keberhasilan Pengobatan TBC,Jumlah Kasus Penyakit - HIV/AIDS Kasus Baru,Jumlah Kasus Penyakit - Penemuan Kasus Baru Kusta per 100.000 Penduduk,Jumlah Kasus Penyakit - Angka Kesakitan Malaria per 1.000 Penduduk,Jumlah Kasus Penyakit - Angka Kesakitan DBD per 100.000 Penduduk
Aceh,68,86,352,4.73,0.07,60.85
Sumatera Utara,68,85,3250,0.71,0.42,60.8
Sumatera Barat,63,87,654,1,0.01,48.65
Riau,72,90,1007,1.66,0.4,43.26
Jambi,62,88,313,1.47,0.01,61.92
Sumatera Selatan,62,92,986,2.99,0.01,69.59
Bengkulu,43,85,173,0.34,,149.17
Lampung,58,93,1220,2,0.28,102.76
Kepulauan Bangka Belitung,62,86,277,3.41,0.01,124.09
Kepulauan Riau,52,83,949,1.78,0.14,64.95
DKI Jakarta,90,80,5027,4.24,0.03,122.53
Jawa Barat,96,85,9893,3.61,0.01,118.8
Jawa Tengah,83,87,6191,3.41,0.02,49.79
DI Yogyakarta,82,87,928,1.38,0.03,97.59
Jawa Timur,76,89,10460,5.26,0.01,78.83
Banten,111,91,2434,5.8,0.01,100.93
Bali,82,84,1998,2.56,0.02,336.83
Nusa Tenggara Barat,58,89,627,5.01,0.04,76.53
Nusa Tenggara Timur,55,88,1255,7.9,1.57,68.65
Kalimantan Barat,74,86,1309,1.36,0.01,47.43
Kalimantan Tengah,73,79,485,2.72,0.05,142
Kalimantan Selatan,81,76,674,3.35,0.07,72.3
Kalimantan Timur,52,83,1375,3.36,0.4,284.06
Kalimantan Utara,58,77,209,4.71,0.19,84.71
Sulawesi Utara,70,82,869,17.01,0.46,186.98
Sulawesi Tengah,84,83,705,11.4,0.37,76.41
Sulawesi Selatan,64,83,2120,8.48,0.2,66.04
Sulawesi Tenggara,67,80,646,6.72,0.19,170.04
Gorontalo,71,91,277,17.75,1.29,189.52
Sulawesi Barat,79,89,134,11.55,0.21,171.67
Maluku,59,86,861,23.35,1.18,21.41
Maluku Utara,79,80,592,48.93,0.15,82.61
Papua Barat,89,71,827,67.74,13.52,66.07
Papua Barat Daya,71,75,291,64.13,11.51,48.72
Papua,58,72,2275,147.87,216.67,54.16
Papua Selatan,77,76,194,34.53,105.13,
Papua Tengah,65,78,1311,27.12,114.25,95.91
Papua Pegunungan,27,44,559,6.39,25.89,23.04
